proposed_label,parent_category,main_category,occurrences,first_seen_ticker,first_seen_at,promoted
Capital Injection for Lending,Working Capital,General Working Capital,1,01572,2026-05-25T09:21:26Z,0
New land acquisition for property development,Growth,Geographic Expansion,1,01622,2026-05-25T09:22:17Z,0
Bulk raw material procurement,Working Capital,Inventory Procurement,1,01630,2026-05-25T09:22:28Z,0
Day-to-day operations,Working Capital,General Working Capital,1,01630,2026-05-25T09:22:28Z,0
Minimum purchase commitment reserve,Working Capital,Inventory Procurement,1,01653,2026-05-25T09:22:56Z,0
Loan portfolio expansion,Growth,Capacity Expansion,1,01669,2026-05-25T09:23:13Z,0
General Working Capital,Working Capital,Day-to-day Operations,1,01669,2026-05-25T09:23:13Z,0
In-licensing of drug candidates,Growth,Acquisitions and Strategic Investments,1,01672,2026-05-25T09:23:21Z,0
Licensing and permits,Growth,Capacity Expansion,1,01667,2026-05-25T09:23:32Z,0
New construction projects,Growth,Capacity Expansion,1,01693,2026-05-25T09:23:42Z,0
Performance guarantee reserves,Others,Reserves / Contingencies,1,01726,2026-05-25T09:24:57Z,0
Project upfront costs,Working Capital,General Working Capital,1,01741,2026-05-25T09:25:05Z,0
Hiring for growth,Growth,Sales and Marketing,1,01741,2026-05-25T09:25:05Z,0
Surety bonds and guarantees,Working Capital,Day-to-day Operations,1,01746,2026-05-25T09:25:09Z,0
Talent recruitment and training,Growth,Sales and Marketing,1,01742,2026-05-25T09:25:30Z,0
Platform / infrastructure R&D,Growth,Product Development,1,01762,2026-05-25T09:25:51Z,0
Workforce expansion for project delivery,Growth,Sales and Marketing,1,01780,2026-05-25T09:26:33Z,0
Guarantee / surety bond deposits,Working Capital,General Working Capital,1,01783,2026-05-25T09:26:39Z,0
Project startup costs,Working Capital,Day-to-day Operations,1,01783,2026-05-25T09:26:39Z,0
Workforce expansion for tender capacity,Growth,Sales and Marketing,1,01783,2026-05-25T09:26:39Z,0
Project-specific capacity,Growth,Capacity Expansion,1,01793,2026-05-25T09:26:54Z,0
Office upgrade and renovation,Growth,Infrastructure and Network,1,01793,2026-05-25T09:26:54Z,0
Operational efficiency innovation,Growth,R&D and Technology,1,01793,2026-05-25T09:26:54Z,0
General working capital and corporate purposes,Others,General Corporate Purposes,1,01793,2026-05-25T09:26:54Z,0
Fund of funds investments,Growth,Acquisitions and Strategic Investments,1,01835,2026-05-25T09:27:30Z,0
Strategic incubator/portfolio expansion,Growth,Acquisitions and Strategic Investments,1,01873,2026-05-25T09:28:07Z,0
Day-to-day operations,Others,General Corporate Purposes,1,01873,2026-05-25T09:28:07Z,0
Workforce expansion in new markets,Growth,Geographic Expansion,1,01894,2026-05-25T09:28:09Z,0
Business expansion (leasing/factoring),Growth,Capacity Expansion,1,01905,2026-05-25T09:28:16Z,0
Revolving purchase payments for ICs,Working Capital,Inventory Procurement,1,01912,2026-05-25T09:28:33Z,0
Testing and R&D equipment,Growth,R&D and Technology,1,01912,2026-05-25T09:28:33Z,0
Recruiting R&D and engineering staff,Growth,R&D and Technology,1,01912,2026-05-25T09:28:33Z,0
General corporate purposes and working capital,Others,General Corporate Purposes,1,01912,2026-05-25T09:28:33Z,0
Special Dividend,Others,General Corporate Purposes,1,01931,2026-05-25T09:28:53Z,0
Raw materials / inventory procurement,Working Capital,Inventory Procurement,1,01929,2026-05-25T09:28:53Z,0
Related party loan repayment,Financing,Debt Repayment,1,01929,2026-05-25T09:28:53Z,0
Talent acquisition for innovation,Growth,R&D and Technology,1,01939,2026-05-25T09:29:00Z,0
Performance security for contracts,Growth,Sales and Marketing,1,01985,2026-05-25T09:29:39Z,0
Subsidiary capital strengthening,Financing,Refinancing,1,02003,2026-05-25T09:29:48Z,0
IT systems and data analytics,Growth,R&D and Technology,1,02003,2026-05-25T09:29:48Z,0
Additional workforce for capacity,Growth,Capacity Expansion,1,02193,2026-05-25T09:31:03Z,0
Additional staffing,Growth,Capacity Expansion,1,02221,2026-05-25T09:31:11Z,0
Raw material procurement,Working Capital,Inventory Procurement,1,02226,2026-05-25T09:31:19Z,0
Workforce expansion for operations,Growth,Capacity Expansion,1,02227,2026-05-25T09:31:28Z,0
New product launches,Growth,Sales and Marketing,1,02552,2026-05-25T09:32:39Z,0
Unallocated / Unspecified,Working Capital,General Working Capital,1,02608,2026-05-25T09:32:54Z,0
Capital for service expansion,Growth,Capacity Expansion,2,02680,2026-05-25T09:33:10Z,0
Business expansion,Growth,Capacity Expansion,3,02799,2026-05-25T09:33:36Z,0
Performance guarantees,Others,Reserves / Contingencies,1,02863,2026-05-25T09:33:40Z,0
Unspecified,Others,General Corporate Purposes,1,03302,2026-05-25T09:33:58Z,0
Financial leasing working capital,Working Capital,General Working Capital,2,03360,2026-05-25T09:34:15Z,0
Strategic acquisitions,Growth,Acquisitions and Strategic Investments,1,03600,2026-05-25T09:34:39Z,0
Platform / infrastructure R&D,Growth,Infrastructure and Network,1,03662,2026-05-25T09:35:01Z,0
New subsidiaries and branches,Growth,Capacity Expansion,2,03903,2026-05-25T09:35:58Z,0
Land acquisition,Growth,Capacity Expansion,1,03990,2026-05-25T09:36:01Z,0
"Overseas markets, Mainland China expansion",Growth,Geographic Expansion,1,03996,2026-05-25T09:36:21Z,0
Workforce expansion,Growth,Capacity Expansion,1,06080,2026-05-25T09:36:30Z,0
Business line expansion,Growth,Capacity Expansion,1,06178,2026-05-25T09:37:30Z,0
Port facilities,Growth,Infrastructure and Network,1,06198,2026-05-25T09:37:35Z,0
New facilities,Growth,Capacity Expansion,1,06182,2026-05-25T09:37:38Z,0
Capital base expansion for lending,Growth,Capacity Expansion,1,06866,2026-05-25T09:38:24Z,0
Working capital replenishment,Working Capital,General Working Capital,1,06869,2026-05-25T09:38:33Z,0
Logistics and supply chain,Growth,Capacity Expansion,2,08035,2026-05-25T09:39:15Z,0
Business development capability enhancement,Growth,Sales and Marketing,1,08093,2026-05-25T09:39:31Z,0
Manufacturing facility enhancements,Growth,Capacity Expansion,1,08093,2026-05-25T09:39:31Z,0
Pre-production product development,Growth,Product Development,1,08093,2026-05-25T09:39:31Z,0
Sourcing capability expansion,Growth,Sales and Marketing,1,08093,2026-05-25T09:39:31Z,0
Working capital and general corporate purposes,Working Capital,General Working Capital,1,08093,2026-05-25T09:39:31Z,0
New facilities and renovations,Growth,Capacity Expansion,1,08161,2026-05-25T09:40:06Z,0
Property acquisition,Growth,Capacity Expansion,1,08161,2026-05-25T09:40:06Z,0
Market research and business development,Growth,R&D and Technology,1,08223,2026-05-25T09:40:25Z,0
Southeast Asia expansion,Growth,Geographic Expansion,1,08237,2026-05-25T09:40:32Z,0
Workforce expansion and training,Growth,Sales and Marketing,1,08283,2026-05-25T09:40:53Z,0
Unallocated / Unspecified,Others,Unallocated / Unspecified,1,08283,2026-05-25T09:40:53Z,0
Licensing and rights acquisition,Growth,Acquisitions and Strategic Investments,2,08282,2026-05-25T09:41:08Z,0
Real estate investment stakes,Growth,Acquisitions and Strategic Investments,1,08313,2026-05-25T09:41:27Z,0
Upgrades to existing sites,Growth,Capacity Expansion,1,08362,2026-05-25T09:41:49Z,0
Plant / facility renovation,Growth,Capacity Expansion,1,08373,2026-05-25T09:42:00Z,0
Talent recruitment and retention,Growth,Product Development,1,08411,2026-05-25T09:42:32Z,0
License working capital requirement,Working Capital,General Working Capital,1,08423,2026-05-25T09:42:37Z,0
Service scope enhancement,Growth,Product Development,1,08423,2026-05-25T09:42:37Z,0
Surety bonds issuance,Others,General Corporate Purposes,1,08422,2026-05-25T09:42:40Z,0
Project set-up costs,Working Capital,Day-to-day Operations,1,08422,2026-05-25T09:42:40Z,0
Market share expansion,Growth,Sales and Marketing,1,08425,2026-05-25T09:42:42Z,0
Workforce expansion,Working Capital,Day-to-day Operations,1,08416,2026-05-25T09:42:43Z,0
New business lines (finance leasing),Growth,Capacity Expansion,1,08452,2026-05-25T09:43:22Z,0
New business lines (factoring),Growth,Capacity Expansion,1,08452,2026-05-25T09:43:22Z,0
Franchise rights,Growth,Acquisitions and Strategic Investments,1,08475,2026-05-25T09:43:34Z,0
Performance bonds,Working Capital,Day-to-day Operations,1,08516,2026-05-25T09:44:07Z,0
General Working Capital,Others,General Corporate Purposes,1,08487,2026-05-25T09:44:10Z,0
Reserves / Contingencies,Others,Reserves / Contingencies,1,08532,2026-05-25T09:44:16Z,0
New team build-out,Growth,Capacity Expansion,1,08601,2026-05-25T09:44:28Z,0
Staff hiring and training for capacity,Growth,Capacity Expansion,1,08601,2026-05-25T09:44:28Z,0
New office premises,Growth,Capacity Expansion,1,08601,2026-05-25T09:44:28Z,0
IT system upgrades,Growth,Infrastructure and Network,1,08601,2026-05-25T09:44:28Z,0
Capital base expansion for finance leasing,Growth,Capacity Expansion,1,08621,2026-05-25T09:44:38Z,0
